Row number,CIID,Chemical Name,Recipe,CAS Number ,Supplier,Product # (link to item),lot #,container #,amount,"amount, kg",unit, location,"est amount remaining 
(June 30, 2023)",pdfs of SDS (as of Jan 2025) (SDS must be updated every 3 years) ,UN Number,Class,Packing Group,GHS Flammable liquid category,Supplier SDS link (SDS should update as suppliers update),est amount remaining (Jun 2024),Expiry Date,date consumed,COA or other notes,,State (based on CoA SDS info (section 3 or 9) if available)),colour (based on CoA or SDS info (section 9) if available)),MolecularWeight,density,,TOXIC ORAL,TOXIC DERMAL,TOXIC INHALATION,SKIN CORROSION / IRRITATION,SERIOUS EYE DAMAGE/EYE IRRITATION,RESPIRATORY SENSITIZATION,SKIN SENSITIZATION,GERM CELL MUTAGENICITY,CARCINOGENICITY,REPRODUCTIVE TOXICITY,SPECIFIC TARGET ORGAN TOXICITY SINGLE EXPOSURE,SPECIFIC TARGET ORGAN TOXICITY REPEATED EXPOSURE,ASPIRATION HAZARD,Health hazard not otherwise classified,FLAMMABLE LIQUIDS,FLAMMABLE SOLIDS,Self-reactive substances and mixtures,CORROSIVE TO METALS,SELF-HEATING SUBSTANCES AND MIXTURE,OXIDIZING  LIQUIDS,OXIDIZING SOLIDS,COMBUSTIBLE DUSTS,Fire or projection hazard,Physical Hazards Not Otherwise Classified,Short-term (acute) aquatic hazard ,Long-term (chronic) aquatic hazard 
1045,291,tungsten (VI) phenoxide,,84798-30-1,Gelest,AKT893-5G,121116744,,5 g,0.005,kg,glovebox,50%,Tungsten Phenoxide_Gelest_SDS_Revised Feb 2016 (Checked Jan 2025),Not dangerous goods,n/a,n/a,,Gelest_AKT893_Tungsten Phenoxide,,,,,,solid (crystalline),dark red amber,747.53,,,,,,,2A,,,,,,3,,,,,,,,,,,,,,,
883,292,Solargain Edge Tape SET LP03 ,"size 3124  0.315"" x 0.024""(8mm x 0.6mm)","contains 14807-96-9, 1333-86-4, 1334-28-1",Quanex,Solargain Edge Tape SET LP03 (618-line),,,3 rolls (varying thickness),,,low humidity box,,Solargain Edge Sealant SET LP03_618_Quanex_SDS_revised March 2022,Not dangerous goods,n/a,n/a,,,,,,Sample date: 2022-04-05,,solid ,black ,,1.21,,,,,,2,,,,,,3,,,,,,,,,,,1,,,,
230,293,Hydranal,Coulomat AG,"contains 67-56-1, 111-42-2, 7446-09-5, 288-32-4, 68007-08-9",Honeywell / Fluka,34836-500ML-US,K2680,,500 mL,0.465,kg,FC2,100%,Coulomat AG (Hydranal)_Honeywell (Fluka)_SDS_revised Nov 2022,UN1230,3 (6.1),II,2,Fluka (HoneyWell)_34836_Coulomat Ag (Hydranal),,,,,,liquid ,light yellow,,0.93,,,,,,2A,,,,,,3,,,,,,,,,,,,,,,
262,294,diethyl succinate,99%,123-25-1,Sigma Aldrich,W237701-SAMPLE-K,MKCC8573,,sample,,,glovebox,80%,"diethyl succinate, >99%_Sigma_SDS_revised March 2024",Not dangerous goods,n/a,n/a,,Sigma_W237701_diethyl succinate,,,,,,liquid,colourless,174.19,1.047,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,295,"1,2-dimethoxyethane","anhydrous, 99.5%, inhibitor free",110-71-4,Sigma Aldrich,259527-1L,SHBM9959,,1 L,0.867,kg,FC2,100% - test for peroxide,"1,2-Dimethylethane, anhydrous, inhibitor free_Sigma_SDS_Revised Jan 2025",UN2252 ,3,II,2,"Sigma_259527_1,2-Dimethoxyethane, anhydrous, inhibitor free",,,,,,liquid,colourless,90.12,0.867,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,3
141,296,benzoflex,9-88 SG Plasticizer,,EASTMAN,P3260205,V9SG203221,,3.78 kg,3.78,kg,FC1,90%,Benzoflex 9-88 SG Plasticizer_Eastman_SDS_revised July 2024,Not dangerous goods,n/a,n/a,n/a,Eastman_P3260205_Benzoflex 9-88 SG Plasticizer,,,,,,liquid,"colourless, light yellow",,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,297,ethylene carbonate,"andhydrous, 99%",96-49-1,Sigma Aldrich,676802-1L,SHBM8804, ,1 L,1.321,kg,glovebox,95%,"ethylene carbonate, anhydrous 99%_Sigma_SDS_Revised October 2022",Not dangerous goods,n/a,n/a,,"Sigma_676802_ethylene carbonate, anhydrous, 99%",,,,,,solid (crystalline),colourless,88.06,1.321,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1
937,298,tetraethylene glycol dimethyl ether,,143-24-8,Sigma Aldrich,172405-1kg,BCCF2908,,1 kg,1,kg,FC2 + 500mL on sieves,90% check for peroxides,tetraethylene glycol dimethyl ether (tetraglyme)_revised Jan 2024,Not dangerous goods,n/a,n/a,,Sigma_172405_tetraethylene glycol Dimethyl ether,,,,,,liquid ,clear,222.28,1.009,,4,,,,1,1,1,2,1B,1B,,,,,,,,,,,,,,,1,1
815,299,bis(2-butoxyethyl) adipate,Proviplast 0142,141-18-4,Proviron,Proviplast 0142,202104190031,,1 kg,1,kg,FC1,50%,Proviplast 0142_Proviron_SDS_Revised Oct 2019,Not dangerous goods,n/a,n/a,,,,,,,,liquid,colorless to light yellow,346.64,0.991,,4,,,,1,1,1,2,1B,1B,,,,,,,,,,,,,,,1,1
816,300,bis(2-butoxyethyl) adipate,Proviplast 0143,141-18-4,Proviron,Proviplast 0142,202104190031,,500 mL jar,0.4955,kg,glovebox; on sieves,50%,Proviplast 0142_Proviron_SDS_Revised Oct 2019,Not dangerous goods,n/a,n/a,,,,,,,,liquid,colorless to light yellow,346.64,0.991,,,,,,2A,,1,2,,,"1,2",2,,,,,,,,,,,,,1,1
818,301,triethyleneglycol-di-(2-ethylhexanoate),,94-28-0,Proviron,Proviplast 1783 (3G8-3G0),KLW210330,,1 kg,1,kg,FC1,20%,Proviplast 1783_Proviron_SDS_Revised Oct 2016 (checked July 2021),Not dangerous goods,n/a,n/a,,,,,,,,liquid,colorless  ,402.6,0.96,,5.0,5.0,,3.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,
819,302,triethyleneglycol-di-(2-ethylhexanoate),,94-28-0,Proviron,Proviplast 1783 (3G8-3G0),KLW210330,,500 mL  jar,0.48,kg,"glove box, over sieves",60%,Proviplast 1783_Proviron_SDS_Revised Oct 2016 (checked July 2021),Not dangerous goods,n/a,n/a,,,,,,,,liquid,colorless  ,402.6,0.96,,4,4,,2,1,,,,,,,,,,,,,,,,,,,,1,2
821,303,isopentyl epoxy soyate,Proviplast 2705,1394595-45-5,Proviron,Proviplast 2705,JC201106,,1 kg,1,kg,FC 1,90%,Proviplast 2705_Proviron_SDS_revised Dec 2017 (checked July 2021),Not dangerous goods,n/a,n/a,,,,,,,,liquid,light yellow,,0.947,,,,4,,1,,,,,1B,1,2,,,2,,,,,,,,,,,
822,304,Proviplast 2755,,,Proviron,Proviplast 2755,20210305,,1 kg,1,kg,FC 1,80%,Proviplast 2755_Proviron_SDS_revised Sept 2020,Not dangerous goods,n/a,n/a,,,,,,,,liquid,light yellow,,0.961,,,,4,,1,,,,,1B,1,2,,,2,,,,,,,,,,,
1047,305,tungsten isopropoxide solution,5% w/v in isopropanol,52321-90-1,American Elements,W-IP-01-SOL,1791381051-405,,100 mL,0.0785,kg,glovebox,95%,tungsten isopropoxide solution 5% w/v in isopropanol_American Elements_SDS_revised Jan 2018 (checked June 2021 that this is newest version),UN1219,3,II,,,,,,,,liquid ,,544.44,0.785,,,,4,,1,,,,,1B,1,2,,,,,,,,,,,,,,
1048,306,tungsten isopropoxide solution,5% w/v in isopropanol,52321-90-1,American Elements,W-IP-01-SOL,1791381051-405,,100 mL,0.0785,kg,glovebox,100%,tungsten isopropoxide solution 5% w/v in isopropanol_American Elements_SDS_revised Jan 2018 (checked June 2021 that this is newest version),UN1219,3,II,,,,,,,,liquid ,,544.44,0.785,,,,4,,1,,,,,1B,1,2,,,,,,,,,,,,,,
118,307,TPU resin pellets,"aliphatic, ESTANE® AG 8451",,Lubrizol,AG-8451 resin,sample (SWM),,5 lbs,2.272727273,kg,"black cabinet, ground up",5%,ESTANE AG 8451 TPU (aliphatic polyutherane polymer)_Lubrizol_SDS_Revised June 2018 (checked July 2021),Not dangerous goods,n/a,n/a,n/a,,,,,,,solid (granules),clear,,,,,,4,,1,,,,,1B,1,2,,,,,,,,,,,,,,
37,308,"1,4-butanediol diglycidyl ether",95%,2425-79-8,Sigma Aldrich,220892-10G,MKCN7736,,10 g,0.01,kg,FC2,100%,"1,4-Butanediol Diglycidyl ether, >=95%_Sigma_SDS_Revised March 2024",Not dangerous goods,n/a,n/a,n/a,"SIgma_220892_1,4-Butanediol Diglycidyl ether, >=95%",,,,,,liquid (viscous liquid),light yellow ,202.25,1.1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
143,309,bisphenol A diglycidyl ether,,1675-54-3,Sigma,D3415-250,MKCL7986,,250 g,0.25,kg,FC2,95%,Bisphenol A diglycidyl ether_Sigma_SDS_Revised March 2024,Not dangerous goods,n/a,n/a,n/a,Sigma_D3415_Bisphenol A diglycidyl ether,,,,,,liquid (viscous),yellow,340.41,1.16,,,,,,,,1,,,,,,,,,,,,,,,,,,,
774,310,polyvinyl acetal,Mowital BA 55 HH,70775-95-0,Kuraray America Inc,Mowital BA 55 HH,DE10020109,,500 g,0.5,kg,"black storage cabinet ,3rd floor",65%,polyvinyl acetal_Mowital B30HH and B45H_Kuraray_SDS_revised May 2019,Not dangerous goods,n/a,n/a,,,,,,,,solid (powder),colourless,,1.1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
422,311,indoline,99%,496-15-1,Sigma Aldrich,I5605-25G,MKCG1808,,25 g,0.025,kg,glovebox,60%,indoline reagent plus 99%_Sigma_SDS_revised June 2022,Not dangerous goods,n/a,n/a,,Sigma_I5605_Indoline,,,,,,liquid,dark brown,119.16,1.063,,,,,,,,1,,,,,,,,,,,,,,,,,,,
617,312,"N,N-dimethylaniline",99%,121-69-7,Sigma Aldrich,515124-100mL,MKCJ5990,,100 mL,0.0956,kg,glovebox,90%,"N,N-Dimethylaniline_Sigma_SDS_Revised Jan 2025",UN2253,6.1,II,,"Sigma_515124_N,N-Dimethylaniline",,,,,,liquid ,light yellow,121.84,0.956,,,,,,,,1,,,,,,,,,,,,,,,,,,,
202,313,cerium (III) 2-ethylhexanoate,49% in 2-ethylhexanoic acid (12% Ce),"56797-01-04, also contains 149-57-5",Strem,93-5833-500G,30119700,,500 g,0.5,kg,glovebox,90%,"cerium (III) 2-ethylhexanoate, 49% in 2-ethylhexanoic acid (12% Ce)_Strem_SDS_Revised July 2021_checked Jan 2025",Not dangerous goods,n/a,n/a,n/a,"Strem_93-5833_cerium (III) 2-ethylhexanoate, 49% in 2-ethylhexanoic acid (12% Ce)",,,,,,liquid (viscous),yellow,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
91,314,4-methoxybenzyl alcohol,98%,105-13-5,Sigma Aldrich,136905-5G,STBJ6344,,5 g,0.005,kg,glovebox,80%,"4-methoxybenzyl alcohol, 98%_Sigma_SDS_revised Aug 2023",Not dangerous goods,n/a,n/a,n/a,"Sigma_136905_4-methoxybenzyl alcohol, 98%",,,,,,liquid,colourless - yellow,138.16,1.113,,,,,,,,1,,,,,,,,,,,,,,,,,,,
718,315,niobium (V) oxide,hydrate,"contains 1313-96-8, 7732-18-5",CBMM (Companhia Brasileira de Metalurgia e Mineracao,HY 340,ref:AD9164,,1 kg,1,kg,FC1; precursors,100%,niobium pentoxide hydrate HY-340_CBMM_SDS_revised April 2020,Not dangerous goods,n/a,n/a,,CBMM_HDY-340_niobium pentoxide hydrate,,,,,,powder,white,,0.7 to 1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
134,316,ammonium niobium oxide oxalate hydrates,23.6% Nb2O5,,CBMM (Companhia Brasileira de Metalurgia e Mineracao,ANO,ref:AD09165 lot: 73,,1 kg,1,kg,FC1; precursors,100%,ammonium niobium oxide oxalate hydrates ANO_CBMM_SDS_revised Feb 2024,UN3260,8,III,n/a,CBMM_ANO_ammonium niobium oxide oxalate hydrates,,,,,,solid (crystalline powder),white,325,1.79,,,,,,,,1,,,,,,,,,,,,,,,,,,,
825,317,Rhodiasolv Iris,,"contains 627-93-0, 14035-94-0",Solvay,107265,2002001,,1 pt,0.497,kg,glovebox on sieves in 500 mL jar,80%,Rhodiasolv Iris_Solvay_SDS_revised April 2021,Not dangerous goods,n/a,n/a,,,,,,,,liquid,colorless,mixture,1.05,,,,,,,,1,,,,,,,,,,,,,,,,,,,
415,318,indium (III) acetate,,25114-58-3,Sigma Aldrich,510270,MKCN6735,,10 g,0.01,kg,glovebox,40%,Indium (III) acetate_SDS_Sigma_Revised Sept_2023,Not dangerous goods,n/a,n/a,,Sigma_510270_Indium (III) acetate,,,,,,solid (crystalline),white,291.95,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
32,319,"1,2,3,6-tetrahydrophthalic anhydride",,85-43-8,Sigma (EMD Millipore),8.00742.0100,S7891642003,,100 g,0.1,kg,FC2,100%,"1,2,3,6-tetrahydrophthalic anhydride_Sigma_SDS_Revised July 2024",UN2698 ,8,III,n/a,"Sigma_8.00742_1,2,3,6-tetrahydrophthalic anhydride",,,,,,solid (flakes),white,152.14,1.36,,,,,,,,1,,,,,,,,,,,,,,,,,,,
253,320,D-sorbitol,99%,50-70-4,Sigma Aldrich,240850-200G,SHBL8194,,100 g,0.1,kg,FC1,TRUE,"D-sorbitol, 99%_Sigma_SDS_revised December 2024",Not dangerous goods,n/a,n/a,,Sigma_240850_D-Sorbitol,,,,,,solid (crystals),white,182.17,1.49,,,,,,,,1,,,,,,,,,,,,,,,,,,,
144,321,bisphenol A ethoxylate diacrylate,Mn 512,64401-02-1,Sigma Aldrich,412090-1L,MKCP5565,,1 L,1.14,kg,FC2,100%,"Bisphenol A ethoxylate diacrylate, average Mn 512, EO/phenol 2_Sigma_SDS_revised Jan 2024",UN3334,9,III,n/a,"Sigma_412090_Bisphenol A ethoxylate diacrylate, average Mn 512, EO/phenol 2",,,,,,liquid ,colourless,362.4,1.14,,,,,,,,1,,,,,,,,,,,,,,,,,,,
289,322,BR-571MB,,,Dymax,Bomar BR-571MB,2665170,,1 pint,0.506,kg,FC3,95%,Dymax_Bomar BR-571MB polyester Urethane Methacrylate_Dymax_SDS_revised Oct 2017 (checked July 2021),Not dangerous goods,n/a,n/a,,,,April 01 2023,,,,liquid (viscous),clear,,1.07,,,,,,,,1,,,,,,,,,,,,,,,,,,,
293,323,BR-7432GB,,,Dymax,Bomar BR-7432GB,2570947,,1 pint,0.549,kg,FC3,85%,Dymax_Bomar BR-7432GB polyester Urethane Acrylates_Dymax_SDS_revised May 2018 (checked July 2021),Not dangerous goods,n/a,n/a,,,,Jan 19 2023,,,,liquid (very viscous),clear,,1.16,,,,,,,,1,,,,,,,,,,,,,,,,,,,
426,324,isobornyl acrylate,technical,5888-33-5,Sigam Aldrich,392103-100 mL,MKCJ4222,,100 mL,0.1,kg,fridge,70%,"isobornyl acrylate, technical grade, contains 200 ppm monomethyl ether hydroquinone as inhibitor_Sigma_SDS_revised July 2021",UN3082 ,9,III,,"Sigma_392103_isobornyl acrylate, technical grade, contains 200 ppm monomethyl ether hydroquinone as inhibitor",,,,,,liquid,colourless,208.3,,,,,,1B,1,,,,,,,,,,,,,,,,2,,,,1,2
569,325,lithium trimethylsilanolate,95%,2004-14-0,Sigma Aldrich,345474-100G,SHBK3118,,100 g,0.1,kg,glovebox,5%,Lithium trimethylsilanolate_Sigma_SDS_revised March 2024,UN3263 ,8,II,,Sigma_345474_Lithium trimethylsilanolate,,,,,,solid (powder),white to yellow to orange and faint grey to light grey,96.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,326,triethyleneglycol-di-(2-ethylhexanoate),,94-28-0,Celanese,WVC 3800,1477693,,1 quart,0.914,kg,FC1: middle left,100%,Plasticizer WVC 3800 (TEH-EH)_Celanese_SDS_revised Feb 2019,Not dangerous goods,n/a,n/a,,,,,,,,liquid,slightly yellowish,402.564,0.966,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,327,"tricyclo[5.2.1.02,6]decanedimethanol diacrylate",,42594-17-2,Sigma Aldrich,496669-100mL,MKCN9943,,100 mL,0.11,kg,FC2,90%,"Tricyclo[5.2.1.02,6]decanedimethanol diacrylate_Sigma_SDS_revised Oct 2021 checked Feb 2025",UN3082 ,9,III,,"Sigma_496669_Tricyclo[5.2.1.02,6]decanedimethanol diacrylate =",,,,,,liquid (viscous),colourless,304.38,1.1,,,,4,,,,1,,,,3,,,,,,,,,,,,,,,
405,328,hexahydro-4-methylphthalic anhydride,,19438-60-9,Fisher (ACROS),AC165395000,A0401246,,500 g,0.5,kg,FC2,80%,"Hexahydro-4-methylphthalic anhydride, mixture of cis and trans_Fisher_SDS_Revised Dec 2021 (received July 2021)",Not dangerous goods,n/a,n/a,,"Fisher_AC16539500_Hexahydro-4-methylphthalic anhydride, mixture of cis and trans",,,,,,liquid,,168.19,1.16,,,,4,,,,1,,,,3,,,,,,,,,,,,,,,
286,329,BR-3641AA,,,Dymax,Bomar BR-3641AA,2463615,,1 pint,0.47,kg,FC2; middle,100%,Dymax_Bomar BR-3641AA polyester urethane acrylate_Dymax_SDS_revised April 2019,Not dangerous goods,n/a,n/a,,,,October 20 2022,,,,liquid (viscous),colourless,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,330,BR-930D,,,Dymax,Bomar BR-930D,2746201,,1 pint,0.525,kg,FC2; middle,100%,Dymax_Bomar BR-930D multifunctional acrylates_Dymax_SDS_revised Dec 2015 (checked July 2021),Not dangerous goods,n/a,n/a,,,,June 2 2023,,,,liquid,colourless,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,331,BRC-843,,,Dymax,Bomar BRC-843,2614794,,1 pint,0.516,kg,FC2; middle,100%,Dymax_Bomar BRC-843 aliphatic Urethane Acrylate_Dymax_SDS_revised March 2019,Not dangerous goods,n/a,n/a,,,,February 23 2023,,,,liquid,colourless,,1.09,,,,,,,,,,,,,,,,4,,,,,,,,,,,
778,332,polyvinyl butyral,Mowital B 45 H,"68648-78-2 (can also be 63148-65-2) and impuritites including 7732-18-5, 123-72-8, 7647-14-5",Kuraray America Inc,Mowital B 45 H,M120055101,,15 kg ,15,kg,"black storage cabinet ,3rd floor",100%,polyvinyl butyral (PVB)_Mowital B30HH and B45H_Kuraray_SDS_revised May 2020,Not dangerous goods,n/a,n/a,,"Kuraray America_Mowital B 30 HH, B 45 H, 60H and 60HH_polyvinyl butyral",,,,,,solid (powder) ,colourless ,234.25,1.1,,,,,,,,,,,,,,,,4,,,,,,,,,,,
940,333,tetrahydrofuran,"anhydrous, inhibitor free, 99.9%",109-99-9,Sigma Aldrich,401757-1L,SHBN5910,,1 L,0.98,kg,glovebox,60% check for peroxides,Tetrahydrofuran_Sigma_SDS_Revised March 2024,UN2056,3,II,,Sigma_401757_Tetrahydrofuran,,estimated Dec 2021-July 2022,,,,liquid ,colourless,72.11,0.98,,,,,,,,,,,1B,,,,,,,,,,,,,,,1,2
270,334,dimethyl adipate,99%,627-93-0,ThermoFisher,B21174.30,10201408,,250 g,0.25,kg,FC2,90%,"dimethyl adipate, 99%_ThermoFisher_SDS_revised March 2024",Not dangerous goods,n/a,n/a,,ThermoFisher_B21174.30_dimethyl adipate,,,,,,liquid,colourless,174.2,1.06,,,,,,2,,2,,,,3,,,,,,,,,,,,,,,
424,335,ISC-Electrolyte 101,,,Fraunhofer ISC,ISC-Electrolyte 101,CM2405,,100 mL x 3,0.1,kg,FC2,100%,ISC Electrolyte 101_Fraunhofer_SDS_revised Jan 2020,UN1866,3,III,,,,,,,,liquid,translucent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,336,MEPE ethanol ink,,,Fraunhofer ISC,MEPE ethanol ink,CM2406,,3 x 100 mL,0.3,kg,FC2,100%,MEPE ethanol Ink_Fraunhofer_SDS_Revised June 2021,UN1987,3,II,,,,,,,,liquid ,dark blue,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
739,337,PB ink,,,Fraunhofer ISC,PB ink,CM2407,,100 mL,0.1,kg,FC2,100%,"none sent, inquiring",,,,,,,,,,, , ,,,,,,,,2A,,,,,,,,,,,,,,,,,,,,,
826,338,Rhodiasolv Iris,,"contains 627-93-0, 14035-94-0",Solvay,107265,2002001,,1 gal,3.78,kg,Black storage cabinet,80%,Rhodiasolv Iris_Solvay_SDS_revised April 2021,Not dangerous goods,n/a,n/a,,,,,,,,liquid,colorless,mixture,1.05,,,,,,2A,,,,,,,,,,,,,,,,,,,,,
285,339,BR-344,,,Dymax,Bomar BR-344,2644694,,1 pint,0.483,kg,FC3,8%,Dymax_Bomar BR-344 aliphatic urethane acrylates_Dymax_SDS_revised March 2018,Not dangerous goods,n/a,n/a,,,,"March 17, 2023",,,,liquid (viscous),colourless,,1.02,,,,,,2A,,,,,,,,,,,,,,,,,,,,,
287,340,BR-541S,,,Dymax,Bomar BR-541S,2057502,,1 pint,0.501,kg,FC3,95%,Dymax_Bomar BR-541S polyether urethane acrylates_Dymax_SDS_revised Oct 2020,Not dangerous goods,n/a,n/a,,,,"Nov 4, 2021",,,,liquid (viscous),colourless,,1.06,,,,,,2A,,,,,,,,,,,,,,,,,,,,,
288,341,BR-571,,,Dymax,Bomar BR-571,2227591,,1 pint,0.511,kg,FC2; middle,100%,Dymax_Bomar BR-571 aliphatic urethane acrylates_Dymax_SDS_revised April 2021,Not dangerous goods,n/a,n/a,,,,"March 25, 2022",,,,liquid (viscous),colourless,,1.08,,,,,,2A,,,,,,,,,,,,,,,,,,,,,
294,342,BR-744BT,,,Dymax,Bomar BR-744BT,2228391,,1 pint,0.525,kg,FC2; middle,100%,Dymax_Bomar BR-744BT polyester urethane acrylates_Dymax_SDS_revised May 2019,Not dangerous goods,n/a,n/a,,,,"March 25, 2022",,,,liquid,colourless,,1.11,,4,,,,,,,,,,,,,,,,,,,,,,,,3,3
726,343,Oppanol B 15 N,,,BASF,50980421,33399106D0,,1 kg,1,kg,storage cabinet (3rd floor),,Oppanol B 15 N_BASF_SDS_Revised Aug 2018,Not dangerous goods,n/a,n/a,,,,,,,,solid to liquid (melt),colourless to yellowish,"85,000",0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,344,Oppanol N 50 SF,,,BASF,50444559,A200704001,,20 kg,20,kg,"black storage cabinet ,3rd floor",90%,Oppanol N50 SF_BASF_SDS_revised June 2018,Not dangerous goods,n/a,n/a,,,,,,,,solid (rubber-like),white ,,920,,,,,,,,,,,,,,,,2,,,,,,,,,,,
827,345,Rhodiasolv Iris,,"contains 627-93-0, 14035-94-0",Solvay,107265,2002001,,5 gal,20,kg,Black storage cabinet,100%,Rhodiasolv Iris_Solvay_SDS_revised April 2021,Not dangerous goods,n/a,n/a,,,,,,,,liquid,colorless,mixture,1.05,,,,,,,,,,,,,,,,2,,,,,,,,,,,
18,346,1-hydroxycyclohexyl phenyl ketone,99%,947-19-3,Sigma Aldrich,405612-50g,MKCJ0045,,50 g,0.05,kg,glovebox,60%,"1-Hydroxycyclohexyl phenyl ketone, 99%_Sigma_SDS_revised April 2022",Not dangerous goods,n/a,n/a,n/a,"Sigma_405612_1-Hydroxycyclohexyl phenyl ketone, 99%",,,,,,solid (powder),white,204.46,1.182,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,347,D-(+)-glucose,99.5%,50-99-7,Sigma Aldrich,G8270-1 kg,SLCJ6478,,1 kg,1,kg,FC1 ,50%,"D-(+)-Glucose, >=99.5%_Sigma_SDS_revised July 2024",Not dangerous goods,n/a,n/a,,Sigma_G8270_D-(+)-Glucose,,,,,,"solid (crystalline, powder)",colourless,180.16,1.54,,,,,,,,,,,,,,,,4,,,,,,,,,,,
291,348,BR-742S ,,,Dymax,Bomar BR-742S,2438807,,1 pint,0.525,kg,glovebox,80%,Dymax_Bomar BR-742S polyester urethane Acrylates_Dymax_SDS_revised May 2015 (check July 2021),Not dangerous goods,n/a,n/a,,,,"Sept 30, 2021",,,,liquid (very viscous),clear,,1.11,,,,,,,,,,,,,,,,4,,,,,,,,,,,
761,349,poly(ethylene glycol) methyl ether methacrylate,Mn=300,26915-72-0,Sigma Aldrich,447935-100mL,MKCJ9125,,100 mL,0.105,kg,glovebox with sieves,80%,"poly(ethylene glycol) methyl ether methacrylate, Ave Mn 300_Sigma_SDS_revised Dec 2022",Not dangerous goods,n/a,n/a,,"Sigma_447935_poly(ethylene glycol) methyl ether methacrylate, Ave Mn 300",,,July 2021,,,liquid ,colourless,,1.05,,,,,,1,,,,,,,,,,,,,,,,,,,,,
93,350,4-methylbenzyl alcohol,98%,589-18-4,Fisher (Acros),AC155920050,A0414570,,5 g,0.005,kg,glovebox,90%,"4-methylbenzyl acohol, 98%_Fisher_SDS_revised April 2024",Not dangerous goods,n/a,n/a,n/a,"Fisher_AC155920050_4-methylbenzyl alcohol, 98%",,,,,,solid,white,122.17,0.978,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,351,potassium chloride,≥99.0%,7447-40-7,Millipore Sigma,P9541-500G,BCCM1287,1,500 g,0.5,kg,black chemical storage,"received after June 30, 2024",Potassium chloride_Sigma_SDS _revised May 2023,Not dangerous goods,n/a,n/a,,Sigma_P9541_potassium chloride,,,,,,solid (powder) ,white,74.55,1.98,,4,,,2,1,,,,,,,,,,3,,,,,,,,,,,
870,352,Sipomer B-CEA,,"contains 9003-01-4, 79-10-7",Solvay,106951,BA0L38898,,quart,,,FC1,95%,Sipomer B-CEA_Solvay_SDS_revised Sept 2020,UN3082,9,III,,Solvay_106951_Siopmer Bcea,,,,,,liquid ,colourless,,1.194,,,,,2,2,,,,,,3,,,,,,,,,,,,,,,1
871,353,Sipomer Pam-4000,,"conatains 52628-03-2, 7664-38-2, 868-77-9",Solvay,104848,BA0J11052,,quart,,,FC1,100%,Sipomer PAM-4000_Solvay_SDS_revised Aug 2020,UN3265,8,III,,Solvay_104848_Siopmer PAM 4000,,,,,,liquid ,yellow ,,1.24,,,,,,,,,,,,,,,,4,,,,,,,,,,,
40,354,2-(2-ethoxyethoxy)ethyl acrylate,,7328-17-8,TCI,E0652,PSHZB-XP,,500 g,0.5,kg,glovebox,100%,2-(2-Ethoxyethoxy)ethyl Acrylate (stabilized with MEHQ)_TCI_SDS_revised Sept 2024,Not dangerous goods,n/a,n/a,n/a,TCI_E0652_2-(2-Ethoxyethoxy)ethyl Acrylate (stabilized with MEHQ),,,,,,liquid,colourless,188.22,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,355,2-[2-(2-methoxyethoxy)ethoxy]ethyl acrylate,,48067-72-7,TCI,M3094,8QZFC-TP,,100 g,0.1,kg,FC 1; monomers,100%,2-[2-(2-Methoxyethoxy)ethoxy]ethyl Acrylate (stabilized with MEHQ)_TCI_SDS_revised Oct 2024,Not dangerous goods,n/a,n/a,n/a,TCI_M3094_2-[2-(2-Methoxyethoxy)ethoxy]ethyl Acrylate (stabilized with MEHQ),,,,,,liquid,colourless-yellow,218.25,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,356,tungsten (VI) oxotetrakis-(2-propoxide),,58832-08-9,Umicore,3000024690,RW21052,,200 g,0.2,kg,glovebox,33%,Oxotetrakis-(2-propanolato)tungsten(VI)_Umicore_SDS_revised March 2022 ,UN1325,4.1,II,,,,,,,,solid (powder),white ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
